variant,variable,coef,se,t,p
inst,const,-0.3309445095011243,0.8115434369060482,-0.4077964215480896,0.6834231410025544
inst,dexpgdp,-0.09263976355999483,0.07573438352836293,-1.2232193522153745,0.22124685814285927
inst,diy,0.5143090668737721,0.13458368376143842,3.821481568192403,0.00013265232997605736
inst,dlenpr,-0.02421525787089212,0.026912106666655958,-0.899790498411437,0.36823175176931056
inst,dlenprmod,0.024217927395349018,0.03237098097556604,0.7481369629678188,0.4543775487599775
inst,dopen,0.08761276856122101,0.04643485956273691,1.8867887054304475,0.05918875086890152
inst,expgdp_csmean,-0.08438832524057854,0.19543092717936555,-0.4318064006477713,0.6658821271423252
inst,expgdp_csmean_lag,0.1924379526819343,0.1886031993471063,1.0203323875104076,0.3075708480696697
inst,iy_csmean,-0.7965964747798735,0.24767067131019768,-3.216353678721079,0.0012983072052523692
inst,iy_csmean_lag,0.09853321232024984,0.28085673237720893,0.35083087197608387,0.725715235000884
inst,l_dlcpi2,-0.10162209898548408,0.06846309471176779,-1.4843339964884286,0.13772033552461793
inst,l_iy,0.4639075728096821,0.13352406954496857,3.4743366824469515,0.0005121180102194423
inst,l_lcpi,-0.10923439971887837,0.054374097058023485,-2.008941860722994,0.04454329984459138
inst,l_lrgdpmad,-0.4305378040308483,0.07903058525929937,-5.447736501232448,5.101485833769459e-08
inst,l_open,0.127162956967232,0.039307458597366285,3.235084676162511,0.0012160666069969128
inst,lcpi_csmean,-0.024481808471427433,0.1296301147960005,-0.18885895850632056,0.8502033610076907
inst,lcpi_csmean_lag,0.09211961885557685,0.1543579798434667,0.5967920735228246,0.550646210688758
inst,lenpr_csmean,0.001051470486399037,0.03154825547529699,0.03332895814864827,0.9734122613195351
inst,lenpr_csmean_lag,-0.031725835471018766,0.04249091869026695,-0.7466497889179776,0.45527498597699156
inst,lrgdpmad_csmean,0.9699631216219713,0.20871980172779686,4.647202199276494,3.36467323691636e-06
inst,lrgdpmad_csmean_lag,-0.4754028151579372,0.16080707486392212,-2.9563550954473348,0.003112984676036268
inst,mod,-0.0003139964983040539,0.0069650911700356805,-0.045081462774656744,0.9640423769616882
inst,open_csmean,-0.04629465175216296,0.026350432991797363,-1.7568839102785918,0.07893759866114203
inst,open_csmean_lag,0.03486540162696864,0.043821745819771704,0.7956187270667319,0.4262536783761477
exog,const,-0.04276034440771285,0.866644938973781,-0.04934009590865042,0.960648266498938
exog,dexpgdp,-0.1037628538147231,0.07406962384933442,-1.4008826887765475,0.1612491562496754
exog,diy,0.5379108464731381,0.12860515803795391,4.1826537495050555,2.881260372999961e-05
exog,dlenprmod,-0.0007830749983896457,0.026444281573332507,-0.029612262152711705,0.9763762858193312
exog,dopen,0.08686370113254713,0.048112435100817856,1.8054314014771318,0.07100720104098124
exog,expgdp_csmean,-0.06338034331115822,0.19075177936876442,-0.3322660659884609,0.7396883611057201
exog,expgdp_csmean_lag,0.11807900065197988,0.20236171308383874,0.583504650422976,0.5595536273695951
exog,iy_csmean,-0.8206795210154865,0.22641853780792612,-3.6246127590121615,0.00028939473886580025
exog,iy_csmean_lag,0.09802091939694112,0.2507025846177389,0.3909848777442778,0.6958084137584821
exog,l_dlcpi2,-0.08140900504703302,0.06762424239995984,-1.203843505788116,0.22865007071189325
exog,l_iy,0.4910930521055502,0.12353218763939544,3.9754258504601805,7.025343096378478e-05
exog,l_lcpi,-0.08975577347654787,0.0507352188214314,-1.769101928828846,0.07687686609306965
exog,l_lrgdpmad,-0.47405262585548275,0.07589388152082877,-6.2462561718546565,4.2040748660099325e-10
exog,l_open,0.14594353919082115,0.04072510211626465,3.583626107902004,0.0003388570470173047
exog,lcpi_csmean,0.0047712004909900635,0.12255966254107707,0.03892961511207612,0.9689465050146788
exog,lcpi_csmean_lag,0.08257943181199058,0.15216227318056239,0.5427063495167309,0.5873320017824348
exog,lenpr_csmean,-0.015554044919479697,0.031139781431919724,-0.4994911397655501,0.6174334271114874
exog,lenpr_csmean_lag,-0.033403639284536074,0.044815530667562005,-0.7453585573340987,0.4560549901436002
exog,lrgdpmad_csmean,0.9667548610887172,0.2062109533333152,4.688183849895084,2.756403353787462e-06
exog,lrgdpmad_csmean_lag,-0.4676803592894335,0.14732886711878826,-3.1743973087932074,0.0015014801024610946
exog,mod,-0.0006527694949921909,0.006847608923170135,-0.0953280922313519,0.9240542298814447
exog,open_csmean,-0.041155805712505975,0.02423730597615225,-1.6980354892990295,0.0895010638426239
exog,open_csmean_lag,0.014608582037922023,0.04950170326916656,0.29511271477847034,0.7679077770678977
womod,const,-0.15103462300643222,0.8037007969640149,-0.1879239433094586,0.8509362730701413
womod,dexpgdp,-0.11499042781091331,0.0751024634650466,-1.531113927633425,0.1257412382298393
womod,diy,0.5795825172076385,0.1290281417603566,4.491907806314801,7.058798129566668e-06
womod,dlenpr,-0.0062928375452251445,0.016342442157087862,-0.38506102605331144,0.7001922025025378
womod,dopen,0.08230494069210191,0.04296706445368833,1.9155355791367494,0.05542423623520887
womod,expgdp_csmean,-0.06902228029004043,0.18595613223070181,-0.37117506942126366,0.7105071406285433
womod,expgdp_csmean_lag,0.11303510541635949,0.19608954019306948,0.5764463790626735,0.5643135034894042
womod,iy_csmean,-0.7798814091794952,0.20068631635442663,-3.8860716731785936,0.00010187943857165038
womod,iy_csmean_lag,0.10807238928384777,0.2234545124956009,0.48364379880659325,0.628638685272477
womod,l_dlcpi2,-0.09509667440001716,0.06365582208111548,-1.493919507925562,0.13519665894234745
womod,l_iy,0.4905224035459186,0.12929685629555435,3.7937689871179363,0.0001483777289450483
womod,l_lcpi,-0.07497768024211668,0.059452466658636474,-1.2611365760923379,0.20725964467249858
womod,l_lrgdpmad,-0.44535407509324504,0.0750838610866995,-5.93142212783908,3.003219894992526e-09
womod,l_open,0.13541901609665144,0.041018514988615216,3.301411963213132,0.000961995193651477
womod,lcpi_csmean,-0.06570827078526736,0.14573539245113926,-0.4508738040918742,0.6520805046432012
womod,lcpi_csmean_lag,0.12178515754774762,0.16619765130710756,0.73277303614061,0.4636968695468826
womod,lenpr_csmean,-0.002795581422369686,0.0371002820459755,-0.07535202613568649,0.9399346282332455
womod,lenpr_csmean_lag,-0.02334817533290819,0.02575696510190085,-0.9064800624039789,0.36468181307096437
womod,lrgdpmad_csmean,0.9520997765133975,0.16473773747549925,5.779487997733363,7.492829912081334e-09
womod,lrgdpmad_csmean_lag,-0.4729507140056886,0.11353469559418719,-4.165693240559523,3.104078621074535e-05
womod,open_csmean,-0.029536598295262204,0.027506019903820095,-1.0738230539548217,0.2829019952222973
womod,open_csmean_lag,0.004291334472328545,0.029978684492841683,0.14314619019901392,0.8861747260366597
recession,const,-0.26832293297440357,0.8261764685508177,-0.32477677976602787,0.7453500197471041
recession,dexpgdp,-0.11378515675985648,0.06360515985128382,-1.7889296564288066,0.07362614497029929
recession,diy,0.5405926068490746,0.1305752655426959,4.140084300056889,3.471782142372426e-05
recession,dlenpr,-0.025045238360397057,0.022932126230400855,-1.0921463674482514,0.2747687717668519
recession,dlenprmod,0.03014124800283145,0.029642569821171756,1.0168230414794712,0.309237618850831
recession,dopen,0.09760649540986682,0.04717457674343971,2.0690486729897453,0.03854151949186724
recession,expgdp_csmean,-0.06549676782795275,0.18146740607003645,-0.36092855045646377,0.7181528599839158
recession,expgdp_csmean_lag,0.14904192000667604,0.19724109236176343,0.7556332112241377,0.4498691380433737
recession,iy_csmean,-0.8300217295292354,0.2403211206430356,-3.453802675804429,0.0005527416503476879
recession,iy_csmean_lag,0.08947394345174814,0.2622123783126138,0.34122700090487673,0.7329326979984248
recession,l_dlcpi2,-0.10202585038786371,0.07012168866735688,-1.4549827924403493,0.14567402535457852
recession,l_iy,0.4867722763209271,0.1381132933229552,3.5244418883176607,0.0004243758876429915
recession,l_lcpi,-0.10661682705343829,0.056195362664201685,-1.8972531183851005,0.057794539246257326
recession,l_lrgdpmad,-0.44407410888374405,0.08239932535124501,-5.3892930189753585,7.073539420865416e-08
recession,l_open,0.12936383407737467,0.04185276389411655,3.090926907590922,0.00199532744582287
recession,lcpi_csmean,0.03733839254876068,0.12059573637606756,0.30961619100963966,0.7568528422995118
recession,lcpi_csmean_lag,0.042565578502176064,0.1529194957384868,0.27835285681930977,0.7807415047493169
recession,lenpr_csmean,-0.007233988586813146,0.03314207262926102,-0.21827206366165172,0.8272171396633785
recession,lenpr_csmean_lag,-0.02893067803321387,0.04422180805830279,-0.6542174393925995,0.5129717275745751
recession,lrgdpmad_csmean,0.99887590005184,0.2148734165978447,4.648671370648552,3.340799919149262e-06
recession,lrgdpmad_csmean_lag,-0.501041933629454,0.16336118659468396,-3.067080645493786,0.0021616052969390953
recession,mod,-0.0005617720775655041,0.0068459368335531965,-0.08205919675042221,0.9345996399261756
recession,open_csmean,-0.05012037880778784,0.026653264122801265,-1.880459315484402,0.0600455061541143
recession,open_csmean_lag,0.0367597061615287,0.04460972435786189,0.8240289912271175,0.40992308530223465
recession,recession_2009,0.005232894744874072,0.004930079771404054,1.0614219216545817,0.2884981988151636
gerire,const,-0.3309445095011243,0.8115434369060482,-0.4077964215480896,0.6834231410025544
gerire,dexpgdp,-0.09263976355999483,0.07573438352836293,-1.2232193522153745,0.22124685814285927
gerire,diy,0.5143090668737721,0.13458368376143842,3.821481568192403,0.00013265232997605736
gerire,dlenpr,-0.02421525787089212,0.026912106666655958,-0.899790498411437,0.36823175176931056
gerire,dlenprmod,0.024217927395349018,0.03237098097556604,0.7481369629678188,0.4543775487599775
gerire,dopen,0.08761276856122101,0.04643485956273691,1.8867887054304475,0.05918875086890152
gerire,expgdp_csmean,-0.08438832524057854,0.19543092717936555,-0.4318064006477713,0.6658821271423252
gerire,expgdp_csmean_lag,0.1924379526819343,0.1886031993471063,1.0203323875104076,0.3075708480696697
gerire,iy_csmean,-0.7965964747798735,0.24767067131019768,-3.216353678721079,0.0012983072052523692
gerire,iy_csmean_lag,0.09853321232024984,0.28085673237720893,0.35083087197608387,0.725715235000884
gerire,l_dlcpi2,-0.10162209898548408,0.06846309471176779,-1.4843339964884286,0.13772033552461793
gerire,l_iy,0.4639075728096821,0.13352406954496857,3.4743366824469515,0.0005121180102194423
gerire,l_lcpi,-0.10923439971887837,0.054374097058023485,-2.008941860722994,0.04454329984459138
gerire,l_lrgdpmad,-0.4305378040308483,0.07903058525929937,-5.447736501232448,5.101485833769459e-08
gerire,l_open,0.127162956967232,0.039307458597366285,3.235084676162511,0.0012160666069969128
gerire,lcpi_csmean,-0.024481808471427433,0.1296301147960005,-0.18885895850632056,0.8502033610076907
gerire,lcpi_csmean_lag,0.09211961885557685,0.1543579798434667,0.5967920735228246,0.550646210688758
gerire,lenpr_csmean,0.001051470486399037,0.03154825547529699,0.03332895814864827,0.9734122613195351
gerire,lenpr_csmean_lag,-0.031725835471018766,0.04249091869026695,-0.7466497889179776,0.45527498597699156
gerire,lrgdpmad_csmean,0.9699631216219713,0.20871980172779686,4.647202199276494,3.36467323691636e-06
gerire,lrgdpmad_csmean_lag,-0.4754028151579372,0.16080707486392212,-2.9563550954473348,0.003112984676036268
gerire,mod,-0.0003139964983040539,0.0069650911700356805,-0.045081462774656744,0.9640423769616882
gerire,open_csmean,-0.04629465175216296,0.026350432991797363,-1.7568839102785918,0.07893759866114203
gerire,open_csmean_lag,0.03486540162696864,0.043821745819771704,0.7956187270667319,0.4262536783761477
sixties,const,-0.062053449687937245,0.25249285431410284,-0.24576319142379502,0.8058655522496483
sixties,dexpgdp,-0.11336169871978541,0.07312743338658398,-1.5501938666506356,0.1210949915088868
sixties,diy,0.5545903600579665,0.09796802799766172,5.660932157082955,1.505529412249018e-08
sixties,dlenpr,-0.01677081788802602,0.024775307951882992,-0.6769166268527206,0.49845885411850244
sixties,dlenprmod,-0.0011048105127737056,0.023914153326288205,-0.04619902271677819,0.9631516214037552
sixties,dopen,0.14446666450616716,0.038122014416288624,3.789586324809741,0.00015089836661608125
sixties,expgdp_csmean,-0.0822479895055071,0.12200685071807844,-0.6741259939210934,0.5002312148027197
sixties,expgdp_csmean_lag,0.0644280040721507,0.12979919626283043,0.4963667412985394,0.6196356857787721
sixties,iy_csmean,-0.7494790048507475,0.17766290804956822,-4.2185451824397795,2.4588370249434277e-05
sixties,iy_csmean_lag,0.32000500105077534,0.17326641460747336,1.8468957286138292,0.0647622539256072
sixties,l_dlcpi2,-0.10105648767120871,0.0403126415548016,-2.5068187986101345,0.012182314540121864
sixties,l_iy,0.32156768973858463,0.07981102061523918,4.029113864973984,5.598749682267368e-05
sixties,l_lcpi,-0.07792490138686385,0.03202033660014285,-2.4336065657259898,0.014949234214097551
sixties,l_lrgdpmad,-0.3497038478324394,0.04751408297689566,-7.360004148717075,1.8385293287792592e-13
sixties,l_open,0.14860187032404643,0.036705545222284704,4.048485574158619,5.1550110879761135e-05
sixties,lcpi_csmean,0.051982599489765136,0.08414225054980717,0.6177942609105107,0.5367109670475563
sixties,lcpi_csmean_lag,0.018538024318581217,0.08683003518682002,0.2134978326185812,0.830938679470721
sixties,lenpr_csmean,0.007670401143935616,0.03454366346772351,0.2220494404452091,0.8242753959674498
sixties,lenpr_csmean_lag,-0.02387456609951815,0.022808574959904605,-1.0467364200300746,0.29522116140740184
sixties,lrgdpmad_csmean,0.9022151265069343,0.11731217487429312,7.690720315037299,1.4654943925052066e-14
sixties,lrgdpmad_csmean_lag,-0.5360359765916011,0.13415445837282994,-3.9956627837287253,6.451350989289395e-05
sixties,mod,-6.612159455067336e-05,0.006047283097913816,-0.010934099409614857,0.9912760247269248
sixties,open_csmean,-0.07956050424948519,0.029163827791441613,-2.728054246460505,0.006370913015435464
sixties,open_csmean_lag,-0.008873900485703246,0.01980903498354697,-0.4479723769014366,0.6541731323680495
